place,synonyms,lat,lon
КП, "КП;Пост;Город",52.334866, 104.319403
0 км,"0 км;0",52.337208,104.319196
ТБО,"ТБО;Свалка",52.374365,104.296265
СНТ Раздолье,"СНТ Раздолье",52.374393,104.275548
50 лет победы,"50 лет победы",52.374943,104.264591
Сударь,"Сударь",52.381594, 104.25842
СНТ Весёлое,"СНТ Весёлое,Веселое",52.398430,104.246701
Столбово,"Столбово",52.430779,104.228200
Урик Экономия,"Урик Экономия",52.459952,104.217701
Урик АЗС,"Урик АЗС",52.459572,104.218213
Урик Крепеж,"Урик Крепеж;Урик Стрим",52.461114, 104.220989
Урик Бристоль,"Урик Бристоль",52.463874,104.229233
Урик Каролина,"Урик Каролина",52.469113,104.243042
Урик школа,"Урик школа",52.458556,104.248392
Урик Хлеб-соль,"Урик Хлеб-соль",52.458653,104.246655
Урик Грановщина кладбище,"Урик Грановщина кладбище",52.459676,104.265183
Грановщина Апельсин,"Грановщина Апельсин",52.459662,104.265196
Грановщина Лазурный,"Грановщина Лазурный",52.467647,104.267721
